PU,Species,Genus,NRRL,CBS,Other,Hittinger,Cellobiose,Citrate,D-Glucosamine,Fructose,Galactose,Glycerol,L-Arabinose,L-Sorbose,Lactose,Maltose,Mannose,myo-Inositol,Rhamnose,Xylose,Raffinose,Sucrose,DL-Lactate
38056,Ogataea neopini ,Ogataea,NA,NA,NA,NA,0.670940079,0.626118436,0,0.659329489,0,0.387634832,0,0,0,0,0.812176391,0,0.503739249,0.524410443,0,0.200180291,0
38057,Ogataea falcaomoraisii,Ogataea,NRRL Y-27756,NA,NA,NA,0.656701135,0.510654716,0.374341985,1.46572938,0,0.807428276,0,1.573653519,0,0.544895763,1.201428955,1.067882019,0.135185606,1.277383484,0,0.748553328,0
38333,Ogataea chonburiensis,Ogataea,NA, CBS 10363,NA,NA,0.745207146,0.494596012,0,1.139387152,0,0.384266606,0,0,0,0,1.065241031,0,0.128231664,0.248977896,0,0,0
38334,Ogataea ganodermae,Ogataea,NA, CBS 10646,U75731,NA,0.203005813,0.11387419,0,0.256049803,0,0,0,0.086721163,0,0,0.202298322,0,0.07843054,0.10937261,0,0.079915991,0
40976,Ogataea parapolymorpha,Ogataea,NRRL Y-27345, CBS 8665,NA,NA,0.292314566,0,0,0.577507569,0,0.24571636,0,0,0,0.350460159,0.598597698,0,0.127785165,0.336232155,0.080792226,0.157627204,0.095939532
41800,Ogataea thermomethanolica,Ogataea,NRRL Y-27981, CBS 10098,NA,NA,0,0.132893969,0,0.227300267,0,0.111694439,0,0.163682597,0,0.827442152,0.278261583,0.100899286,0.10236699,0.155893556,0,0.155289723,0
41801,Ogataea saltuana,Ogataea,NRRL Y-48448, CBS 10795,NA,NA,0,0,NA,0.619458801,0,0.454196793,0,0,0,0,0.8845501,0,0.404210733,0.29925063,0,0.405384211,0
41802,Ogataea polymorpha ,Ogataea,NRRL Y-5445, CBS 4732,NA,NA,0,0,0,0,0,0.300233099,0,0,0,0,0,0,0,0,0,0.252197159,0
37218,Ogataea degrootiae,Ogataea,NA,CBS 15033,NA,NA,0.203519996,0,0,0.565360798,NA,0,0,0,0,0,0.894365406,0,0,NA,0.529514948,1.012506666,0
35669,Pachysolen tannophilus,Pachysolen,NRRL Y-2460, CBS 4044,NA,NA,0.306366059,0,0.332348802,0.401913959,0.405039688,0.325742885,0.291017134,0.273422976,0,0,0.937889836,0,0.257752424,0.313437269,0,0.181840768,0
34883,Peterozyma xylosa ,Peterozyma,NRRL Y-12939, CBS 2286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34884,Peterozyma toletana,Peterozyma,NRRL YB-4247, CBS 2504,NA,NA,0.119837231,0.155754309,0,0,0,0.221038766,0,0,0,0.079777337,0,0,0,0,0,0.122961692,0
35670,Phaffomyces opuntiae,Phaffomyces,NRRL Y-11707, CBS 7010,NA,NA,0,0.751278712,0,1.07311585,0,0.688302708,0,0,0,0,0.913911015,0,0.039027545,0.018513998,0,0.451555629,0
35671,Phaffomyces antillensis ,Phaffomyces,NRRL Y-12881, CBS 7111,NA,NA,0,0.449976418,0,1.029279136,0,0.915586367,0,0,0,0,1.021095082,0,0.415566564,0.09283814,0,0.400520768,0
35672,Phaffomyces thermotolerans ,Phaffomyces,NRRL Y-11709, CBS 7012,NA,NA,1.031130683,0,0,1.264159832,0,0.902440647,0,0,0,0,0.990757993,0,0.072106857,0.111689641,0,0.602344838,0
